,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn,availability,coverage,coverageRange
0,Journal of Great Lakes Research,17510,03801330,,Journal,63.0,03801330,Full-text available to present,"{'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 21 issue: 1.', 'Scholars Portal': 'Available from 1975 volume: 1 issue: 1.', 'BioOne Complete': 'Available from 2006 until 2010.'}","['1995 - present', '1975 - present', '2006 - 2010']"
1,Canadian Journal of Fisheries and Aquatic Sciences,12016,0706652X,12057533,Journal,57.0,12057533,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2001.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 2006.Most recent 1 year(s) not available.', 'Gale Cengage CPI.Q': 'Available from 2006.Most recent 1 year(s) not available.', 'Canadian Science Publishing (NRC Research Press) Current': 'Available from 1980 volume: 37 issue: 1.', 'Canadian Science Publishing (NRC Research Press) Back Issues': 'Available from 1980 volume: 37 issue: 1 until 1995 volume: 52 issue: 12.', 'Canadian Business & Current Affairs Database: Business (CBCA)': 'Available from 1998 until 2007.', 'Canadian Business & Current Affairs Database (CBCA)': 'Available from 1998 until 2007.', 'Canadian Business & Current Affairs Database: Reference (CBCA)': 'Available from 1998 until 2007.', 'SciTech Premium Collection': 'Available from 1998 until 2007.'}","['2001 - 1 year ago', '2006 - 1 year ago', '2006 - 1 year ago', '1980 - present', '1980 - 1995', '1998 - 2007', '1998 - 2007', '1998 - 2007', '1998 - 2007']"
2,Environmental Toxicology and Chemistry,25094,07307268,15528618,Journal,38.0,15528618,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1997 volume: 16 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 14 issue: 1.', 'SciTech Premium Collection': 'Available from 2005 until 2009.'}","['1997 - present', '1995 - present', '2005 - 2009']"
3,Animal Behaviour,24580,00033472,,Journal,29.0,00033472,Full-text available to present,"{'Elsevier SD Freedom Collection': 'Available from 1993 volume: 45 issue: 1.', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 45 issue: 1.', 'Scholars Portal': 'Available from 1993 volume: 45 issue: 1.'}","['1993 - present', '1993 - present', '1993 - present']"
4,Biological Invasions,13257,13873547,15731464,Journal,29.0,15731464,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1999 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1999 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1999.Most recent 1 year(s) not available.'}","['1999 - present', '1999 - present', '1999 - 1 year ago']"
5,Environmental Science and Technology,21537,0013936X,15205851,Journal,26.0,15205851,Full-text available to present,"{'American Chemical Society Legacy Archive': 'Available from 1967 volume: 1 issue: 1.', 'CRKN American Chemical Society Journals': 'Available from 1995 volume: 30 issue: 1.'}","['1967 - present', '1995 - present']"
6,Molecular Ecology,20297,09621083,1365294X,Journal,24.0,1365294X,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1992 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1992 volume: 1 issue: 1.'}","['1992 - present', '1992 - present']"
7,Journal of Fish Biology,22560,00221112,10958649,Journal,23.0,10958649,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1969 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1969 volume: 1 issue: 1.'}","['1969 - present', '1969 - present']"
8,Hydrobiologia,15168,00188158,15735117,Journal,23.0,15735117,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 342 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 2003.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 2010 until 2011.Available from 2013.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1948 volume: 1 until 1996 volume: 341.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1948 volume: 1 until 1996 volume: 341.', 'Scholars Portal': 'Available from 1948 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '2003 - 1 year ago', '2010 - 1 year ago', '2010 - 2011', '1948 - 1996', '1948 - 1996', '1948 - present', '1997 - 1 year ago']"
9,PLoS ONE,10600153309,,19326203,Journal,22.0,19326203,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2006.', 'EBSCOhost Academic Search Complete': 'Available from 2008.', 'PubMed Central': 'Available from 2006 volume: 1.', 'Gale Cengage Academic OneFile': 'Available from 2006.', 'SciTech Premium Collection': 'Available from 2006.', 'Nursing & Allied Health Database': 'Available from 2006.'}","['2006 - present', '2008 - present', '2006 - present', '2006 - present', '2006 - present', '2006 - present']"
